,mpg,cylinders,displacement,weight,acceleration,model_year,origin,name,make
0,18.0,8,307.0,3504,12.0,70,usa,chevrolet chevelle malibu,chevrolet
1,15.0,8,350.0,3693,11.5,70,usa,buick skylark 320,buick
2,18.0,8,318.0,3436,11.0,70,usa,plymouth satellite,plymouth
3,16.0,8,304.0,3433,12.0,70,usa,amc rebel sst,amc
4,17.0,8,302.0,3449,10.5,70,usa,ford torino,ford
5,15.0,8,429.0,4341,10.0,70,usa,ford galaxie 500,ford
6,14.0,8,454.0,4354,9.0,70,usa,chevrolet impala,chevrolet
7,14.0,8,440.0,4312,8.5,70,usa,plymouth fury iii,plymouth
8,14.0,8,455.0,4425,10.0,70,usa,pontiac catalina,pontiac
9,15.0,8,390.0,3850,8.5,70,usa,amc ambassador dpl,amc
10,15.0,8,383.0,3563,10.0,70,usa,dodge challenger se,dodge
11,14.0,8,340.0,3609,8.0,70,usa,plymouth 'cuda 340,plymouth
12,15.0,8,400.0,3761,9.5,70,usa,chevrolet monte carlo,chevrolet
13,14.0,8,455.0,3086,10.0,70,usa,buick estate wagon (sw),buick
14,24.0,4,113.0,2372,15.0,70,japan,toyota corona mark ii,toyota
15,22.0,6,198.0,2833,15.5,70,usa,plymouth duster,plymouth
16,18.0,6,199.0,2774,15.5,70,usa,amc hornet,amc
17,21.0,6,200.0,2587,16.0,70,usa,ford maverick,ford
18,27.0,4,97.0,2130,14.5,70,japan,datsun pl510,datsun
19,26.0,4,97.0,1835,20.5,70,europe,volkswagen 1131 deluxe sedan,volkswagen
20,25.0,4,110.0,2672,17.5,70,europe,peugeot 504,peugeot
24,21.0,6,199.0,2648,15.0,70,usa,amc gremlin,amc
25,10.0,8,360.0,4615,14.0,70,usa,ford f250,ford
27,11.0,8,318.0,4382,13.5,70,usa,dodge d200,dodge
29,27.0,4,97.0,2130,14.5,71,japan,datsun pl510,datsun
30,28.0,4,140.0,2264,15.5,71,usa,chevrolet vega 2300,chevrolet
31,25.0,4,113.0,2228,14.0,71,japan,toyota corona,toyota
32,25.0,4,98.0,2046,19.0,71,usa,ford pinto,ford
33,19.0,6,232.0,2634,13.0,71,usa,amc gremlin,amc
34,16.0,6,225.0,3439,15.5,71,usa,plymouth satellite custom,plymouth
35,17.0,6,250.0,3329,15.5,71,usa,chevrolet chevelle malibu,chevrolet
36,19.0,6,250.0,3302,15.5,71,usa,ford torino 500,ford
37,18.0,6,232.0,3288,15.5,71,usa,amc matador,amc
38,14.0,8,350.0,4209,12.0,71,usa,chevrolet impala,chevrolet
39,14.0,8,400.0,4464,11.5,71,usa,pontiac catalina brougham,pontiac
40,14.0,8,351.0,4154,13.5,71,usa,ford galaxie 500,ford
41,14.0,8,318.0,4096,13.0,71,usa,plymouth fury iii,plymouth
42,12.0,8,383.0,4955,11.5,71,usa,dodge monaco (sw),dodge
43,13.0,8,400.0,4746,12.0,71,usa,ford country squire (sw),ford
44,13.0,8,400.0,5140,12.0,71,usa,pontiac safari (sw),pontiac
45,18.0,6,258.0,2962,13.5,71,usa,amc hornet sportabout (sw),amc
46,22.0,4,140.0,2408,19.0,71,usa,chevrolet vega (sw),chevrolet
47,19.0,6,250.0,3282,15.0,71,usa,pontiac firebird,pontiac
48,18.0,6,250.0,3139,14.5,71,usa,ford mustang,ford
49,23.0,4,122.0,2220,14.0,71,usa,mercury capri 2000,mercury
51,30.0,4,79.0,2074,19.5,71,europe,peugeot 304,peugeot
53,31.0,4,71.0,1773,19.0,71,japan,toyota corolla 1200,toyota
54,35.0,4,72.0,1613,18.0,71,japan,datsun 1200,datsun
55,27.0,4,97.0,1834,19.0,71,europe,volkswagen model 111,volkswagen
56,26.0,4,91.0,1955,20.5,71,usa,plymouth cricket,plymouth
57,24.0,4,113.0,2278,15.5,72,japan,toyota corona hardtop,toyota
58,25.0,4,97.5,2126,17.0,72,usa,dodge colt hardtop,dodge
59,23.0,4,97.0,2254,23.5,72,europe,volkswagen type 3,volkswagen
60,20.0,4,140.0,2408,19.5,72,usa,chevrolet vega,chevrolet
61,21.0,4,122.0,2226,16.5,72,usa,ford pinto runabout,ford
62,13.0,8,350.0,4274,12.0,72,usa,chevrolet impala,chevrolet
63,14.0,8,400.0,4385,12.0,72,usa,pontiac catalina,pontiac
64,15.0,8,318.0,4135,13.5,72,usa,plymouth fury iii,plymouth
65,14.0,8,351.0,4129,13.0,72,usa,ford galaxie 500,ford
66,17.0,8,304.0,3672,11.5,72,usa,amc ambassador sst,amc
67,11.0,8,429.0,4633,11.0,72,usa,mercury marquis,mercury
68,13.0,8,350.0,4502,13.5,72,usa,buick lesabre custom,buick
69,12.0,8,350.0,4456,13.5,72,usa,oldsmobile delta 88 royale,oldsmobile
71,19.0,3,70.0,2330,13.5,72,japan,mazda rx2 coupe,mazda
72,15.0,8,304.0,3892,12.5,72,usa,amc matador (sw),amc
73,13.0,8,307.0,4098,14.0,72,usa,chevrolet chevelle concours (sw),chevrolet
74,13.0,8,302.0,4294,16.0,72,usa,ford gran torino (sw),ford
75,14.0,8,318.0,4077,14.0,72,usa,plymouth satellite custom (sw),plymouth
77,22.0,4,121.0,2511,18.0,72,europe,volkswagen 411 (sw),volkswagen
78,21.0,4,120.0,2979,19.5,72,europe,peugeot 504 (sw),peugeot
80,22.0,4,122.0,2395,16.0,72,usa,ford pinto (sw),ford
81,28.0,4,97.0,2288,17.0,72,japan,datsun 510 (sw),datsun
83,28.0,4,98.0,2164,15.0,72,usa,dodge colt (sw),dodge
84,27.0,4,97.0,2100,16.5,72,japan,toyota corolla 1600 (sw),toyota
85,13.0,8,350.0,4100,13.0,73,usa,buick century 350,buick
86,14.0,8,304.0,3672,11.5,73,usa,amc matador,amc
87,13.0,8,350.0,3988,13.0,73,usa,chevrolet malibu,chevrolet
88,14.0,8,302.0,4042,14.5,73,usa,ford gran torino,ford
89,15.0,8,318.0,3777,12.5,73,usa,dodge coronet custom,dodge
90,12.0,8,429.0,4952,11.5,73,usa,mercury marquis brougham,mercury
91,13.0,8,400.0,4464,12.0,73,usa,chevrolet caprice classic,chevrolet
92,13.0,8,351.0,4363,13.0,73,usa,ford ltd,ford
93,14.0,8,318.0,4237,14.5,73,usa,plymouth fury gran sedan,plymouth
95,12.0,8,455.0,4951,11.0,73,usa,buick electra 225 custom,buick
